,video_frame,left,width,top,height,conf
0,58102_002798_Sideline_1,193,23,351,23,0.826171875
1,58102_002798_Sideline_1,589,17,197,21,0.82080078125
2,58102_002798_Sideline_1,304,22,571,24,0.8203125
3,58102_002798_Sideline_1,378,19,309,22,0.818359375
4,58102_002798_Sideline_1,477,20,562,20,0.81298828125
5,58102_002798_Sideline_1,993,23,428,24,0.8115234375
6,58102_002798_Sideline_1,156,21,409,24,0.8076171875
7,58102_002798_Sideline_1,1065,18,251,20,0.8017578125
8,58102_002798_Sideline_1,453,18,477,23,0.798828125
9,58102_002798_Sideline_1,426,21,384,24,0.79443359375
10,58102_002798_Sideline_1,534,16,43,22,0.79296875
11,58102_002798_Sideline_1,381,20,352,23,0.7919921875
12,58102_002798_Sideline_1,395,17,191,21,0.7900390625
13,58102_002798_Sideline_1,355,18,41,22,0.78857421875
14,58102_002798_Sideline_1,452,19,435,22,0.77978515625
15,58102_002798_Sideline_1,711,19,405,21,0.77099609375
16,58102_002798_Sideline_1,457,18,364,24,0.76953125
17,58102_002798_Sideline_1,701,17,333,21,0.76416015625
18,58102_002798_Sideline_1,456,14,284,22,0.76025390625
19,58102_002798_Sideline_1,392,19,452,21,0.7548828125
20,58102_002798_Sideline_1,385,19,407,23,0.70068359375
21,58102_002798_Sideline_1,374,19,430,23,0.69677734375
22,58102_002798_Sideline_2,193,23,351,22,0.82421875
23,58102_002798_Sideline_2,304,21,570,24,0.82177734375
24,58102_002798_Sideline_2,589,16,196,22,0.81982421875
25,58102_002798_Sideline_2,377,20,308,22,0.81884765625
26,58102_002798_Sideline_2,478,20,562,20,0.8134765625
27,58102_002798_Sideline_2,994,23,428,24,0.8095703125
28,58102_002798_Sideline_2,156,21,409,24,0.80322265625
29,58102_002798_Sideline_2,381,19,351,23,0.79443359375
30,58102_002798_Sideline_2,426,21,384,24,0.79345703125
31,58102_002798_Sideline_2,534,16,42,22,0.7919921875
32,58102_002798_Sideline_2,453,18,477,23,0.79052734375
33,58102_002798_Sideline_2,453,18,434,23,0.78662109375
34,58102_002798_Sideline_2,356,17,41,21,0.78662109375
35,58102_002798_Sideline_2,395,16,190,21,0.7861328125
36,58102_002798_Sideline_2,1064,20,250,21,0.78125
37,58102_002798_Sideline_2,711,19,405,20,0.77099609375
38,58102_002798_Sideline_2,456,15,284,22,0.76953125
39,58102_002798_Sideline_2,701,17,333,20,0.767578125
40,58102_002798_Sideline_2,457,18,364,23,0.76416015625
41,58102_002798_Sideline_2,392,19,451,22,0.7578125
42,58102_002798_Sideline_2,374,20,430,22,0.72314453125
43,58102_002798_Sideline_2,385,19,407,23,0.69677734375
44,58102_002798_Sideline_3,303,22,570,24,0.8212890625
45,58102_002798_Sideline_3,377,20,308,22,0.8193359375
46,58102_002798_Sideline_3,589,17,196,21,0.81884765625
47,58102_002798_Sideline_3,193,22,350,22,0.818359375
48,58102_002798_Sideline_3,995,22,427,24,0.81591796875
49,58102_002798_Sideline_3,479,19,563,20,0.8134765625
50,58102_002798_Sideline_3,156,21,408,25,0.81005859375
51,58102_002798_Sideline_3,395,16,189,22,0.79833984375
52,58102_002798_Sideline_3,355,17,40,22,0.79833984375
53,58102_002798_Sideline_3,380,20,350,23,0.79443359375
54,58102_002798_Sideline_3,533,17,42,22,0.7919921875
55,58102_002798_Sideline_3,426,21,383,25,0.79052734375
56,58102_002798_Sideline_3,456,15,283,22,0.78857421875
57,58102_002798_Sideline_3,700,17,333,21,0.78369140625
58,58102_002798_Sideline_3,452,19,434,23,0.783203125
59,58102_002798_Sideline_3,452,18,476,22,0.78173828125
60,58102_002798_Sideline_3,1064,20,249,22,0.775390625
61,58102_002798_Sideline_3,710,20,403,22,0.76953125
