video_frame,left,width,top,height,conf,class
58102_002798_Sideline_1,193,23,351,23,0.826171875,0
58102_002798_Sideline_1,589,17,197,21,0.82080078125,0
58102_002798_Sideline_1,304,22,571,24,0.8203125,0
58102_002798_Sideline_1,378,19,309,22,0.818359375,0
58102_002798_Sideline_1,377,20,309,22,0.81591796875,0
58102_002798_Sideline_1,194,21,351,23,0.8154296875,0
58102_002798_Sideline_1,378,19,309,22,0.81494140625,0
58102_002798_Sideline_1,477,20,562,20,0.81298828125,0
58102_002798_Sideline_1,993,23,428,24,0.8115234375,0
58102_002798_Sideline_1,589,17,197,21,0.80908203125,0
58102_002798_Sideline_1,156,21,409,24,0.8076171875,0
58102_002798_Sideline_1,478,19,562,19,0.8046875,0
58102_002798_Sideline_1,156,21,410,24,0.80322265625,0
58102_002798_Sideline_1,1065,18,251,20,0.8017578125,0
58102_002798_Sideline_1,304,21,571,24,0.80029296875,0
58102_002798_Sideline_1,993,23,429,24,0.7998046875,0
58102_002798_Sideline_1,453,18,477,23,0.798828125,0
58102_002798_Sideline_1,589,16,197,21,0.79638671875,0
58102_002798_Sideline_1,426,21,384,24,0.79443359375,0
58102_002798_Sideline_1,534,16,43,22,0.79296875,0
58102_002798_Sideline_1,381,20,352,23,0.7919921875,0
58102_002798_Sideline_1,452,19,478,22,0.79052734375,0
58102_002798_Sideline_1,395,17,191,21,0.7900390625,0
58102_002798_Sideline_1,355,18,41,22,0.78857421875,0
58102_002798_Sideline_1,478,20,561,20,0.78369140625,0
58102_002798_Sideline_1,478,19,562,20,0.7822265625,0
58102_002798_Sideline_1,395,16,190,23,0.78173828125,0
58102_002798_Sideline_1,1064,18,251,20,0.78173828125,0
58102_002798_Sideline_1,588,18,197,21,0.78173828125,0
58102_002798_Sideline_1,380,21,351,24,0.7802734375,0
58102_002798_Sideline_1,452,19,435,22,0.77978515625,0
58102_002798_Sideline_1,1064,20,252,20,0.7763671875,0
58102_002798_Sideline_1,378,19,308,23,0.7763671875,0
58102_002798_Sideline_1,355,18,41,23,0.77587890625,0
