,video_frame,left,width,top,height,label
0,57906_000718_Endzone_1,800,21,177,29,V58
1,57906_000718_Endzone_1,613,20,163,31,V49
2,57906_000718_Endzone_1,356,21,169,29,V21
3,57906_000718_Endzone_1,985,25,273,28,V27
4,57906_000718_Endzone_1,129,24,214,27,V39
5,57906_000718_Endzone_1,437,22,267,28,V98
6,57906_000718_Endzone_1,477,23,301,15,H55
7,57906_000718_Endzone_1,620,24,275,28,V93
8,57906_000718_Endzone_1,321,22,254,25,V55
9,57906_000718_Endzone_1,818,24,274,29,H67
10,57906_000718_Endzone_1,869,23,304,17,H81
11,57906_000718_Endzone_1,393,19,307,14,V57
12,57906_000718_Endzone_1,312,20,314,16,H85
13,57906_000718_Endzone_1,760,22,305,13,H72
14,57906_000718_Endzone_1,572,21,304,15,H70
15,57906_000718_Endzone_1,667,17,470,23,H87
16,57906_000718_Endzone_1,672,18,286,16,V91
17,57906_000718_Endzone_1,673,22,413,18,H14
18,57906_000718_Endzone_1,668,16,471,22,H47
19,57906_000718_Endzone_1,672,22,413,18,H68
185,57906_000718_Endzone_10,802,20,177,29,H68
186,57906_000718_Endzone_10,614,21,162,32,V23
187,57906_000718_Endzone_10,986,24,273,28,V27
188,57906_000718_Endzone_10,358,20,169,28,V57
189,57906_000718_Endzone_10,130,25,213,28,V39
190,57906_000718_Endzone_10,621,24,274,29,V98
191,57906_000718_Endzone_10,439,20,267,28,H85
192,57906_000718_Endzone_10,820,22,275,28,V93
193,57906_000718_Endzone_10,323,23,251,27,V21
194,57906_000718_Endzone_10,476,22,299,16,V49
195,57906_000718_Endzone_10,871,21,304,15,H81
196,57906_000718_Endzone_10,770,22,293,15,V91
197,57906_000718_Endzone_10,395,23,301,17,V55
198,57906_000718_Endzone_10,676,21,298,20,H14
199,57906_000718_Endzone_10,573,23,302,15,V58
200,57906_000718_Endzone_10,673,19,282,15,H55
201,57906_000718_Endzone_10,669,16,471,22,H26
202,57906_000718_Endzone_10,673,22,412,17,H72
203,57906_000718_Endzone_10,668,17,470,23,H47
204,57906_000718_Endzone_10,673,23,412,18,H67
205,57906_000718_Endzone_10,313,20,313,16,H87
206,57906_000718_Endzone_10,673,19,282,15,H70
1970,57906_000718_Endzone_100,857,18,257,27,V58
1971,57906_000718_Endzone_100,735,20,246,28,V49
1972,57906_000718_Endzone_100,689,21,243,21,H55
1973,57906_000718_Endzone_100,975,25,335,27,V93
1974,57906_000718_Endzone_100,716,21,425,21,H26
1975,57906_000718_Endzone_100,551,24,199,26,V21
1976,57906_000718_Endzone_100,933,24,312,25,H72
1977,57906_000718_Endzone_100,351,28,299,25,V39
1978,57906_000718_Endzone_100,766,20,377,20,H14
1979,57906_000718_Endzone_100,540,19,218,20,V55
1980,57906_000718_Endzone_100,491,23,266,21,V57
1981,57906_000718_Endzone_100,782,20,293,22,H70
1982,57906_000718_Endzone_100,545,21,254,19,H85
1983,57906_000718_Endzone_100,632,21,229,18,V98
1984,57906_000718_Endzone_100,804,23,296,27,H47
1985,57906_000718_Endzone_100,839,17,291,14,V91
1986,57906_000718_Endzone_100,505,23,284,21,H87
1987,57906_000718_Endzone_100,547,23,206,25,H68
1988,57906_000718_Endzone_100,840,17,293,12,H67
1989,57906_000718_Endzone_101,858,20,259,29,V58
1990,57906_000718_Endzone_101,692,21,244,21,H70
1991,57906_000718_Endzone_101,736,21,246,30,H55
1992,57906_000718_Endzone_101,555,22,198,27,V21
1993,57906_000718_Endzone_101,716,21,427,21,H26
1994,57906_000718_Endzone_101,935,23,312,26,H72
1995,57906_000718_Endzone_101,976,24,334,27,V93
1996,57906_000718_Endzone_101,358,28,299,25,V39
1997,57906_000718_Endzone_101,768,20,375,19,H14
1998,57906_000718_Endzone_101,637,21,229,19,H68
1999,57906_000718_Endzone_101,494,22,265,21,V57
2000,57906_000718_Endzone_101,806,23,297,28,H47
2001,57906_000718_Endzone_101,785,20,294,22,H67
2002,57906_000718_Endzone_101,840,20,292,15,V91
2003,57906_000718_Endzone_101,548,20,254,19,H85
2004,57906_000718_Endzone_101,538,20,216,21,V55
2005,57906_000718_Endzone_101,505,22,280,21,H87
2006,57906_000718_Endzone_101,661,20,233,20,V98
2008,57906_000718_Endzone_102,860,20,261,27,V58
2009,57906_000718_Endzone_102,738,22,248,30,H55
2010,57906_000718_Endzone_102,936,24,312,27,H72
2011,57906_000718_Endzone_102,695,21,245,20,H70
